           x            y            
-0.205284176  0.455914912
-0.783149141  1.262705912
-1.145635447  2.024482838
-1.471236376  2.403935121
-1.995901241  3.088749962
-2.886795139  3.482631526
-3.327569252  3.718678515
-4.04000844  4.150050901
-4.991162255  4.248934312
-5.85865275  4.640829226
-6.628500044  4.220046786
-6.989567214  3.874170365
-7.859101282  3.44505595
-8.167720778  3.051668092
-8.731927531  2.540782084
-9.268378448  1.721093022
-9.967467092  1.443652288
-10.15895767  0.98177421
