           x            y            
-0.483703099  0.126614816
-1.305058302  0.39968096
-1.62720098  0.782073552
-2.272088321  1.542692368
-3.126557848  1.960400037
-3.978491048  2.481140011
-4.59171236  3.263585246
-4.949459558  4.146761575
-5.715126323  4.475674122
-6.702141569  4.629468401
-7.692962357  4.761214489
-8.274020575  4.408829319
-8.810386181  3.840351579
-8.658914182  2.918214219
-8.032782183  2.28673568
-7.413513989  1.886018363
-7.971876522  1.209467082
-8.434544628  1.019893289
-8.951068424  0.576106705
-9.177862882  0.130501191
