           x            y            
-0.412058849  -0.83805646
-0.419420091  -1.834878109
-0.774659933  -2.604339321
-0.87923152  -3.093281836
-1.400286573  -3.81619808
-2.123961897  -4.272974375
-2.934353529  -4.840630591
-3.265942713  -5.499787387
-4.09772006  -6.044924528
-4.992570338  -6.202373487
-5.466858724  -6.044099904
-5.98265532  -5.316545255
-6.473176011  -4.833491386
-6.857158485  -3.995042248
-7.142840534  -3.418367738
-7.472303603  -2.730174272
-8.129247513  -2.273041043
-8.96332314  -1.924989925
-9.404625312  -1.386066932
-10.148061356  -0.833897558
