           x            y            
0.833730968  0.406840465
1.287235506  0.617396002
1.845959138  1.363374556
2.263296151  1.6387467
2.415915345  2.499423799
2.613248376  2.958836114
2.977808915  3.888545584
3.412841697  4.605194851
3.636921916  5.052171422
3.568031624  5.964399908
4.137823224  6.739675091
4.525033839  7.056010262
4.721812353  7.901954482
4.431681708  8.30916967
4.5371734  9.256809266
4.897973605  9.602964162
4.788587481  10.365389006
4.35172403  10.608597405
3.475518051  10.967966504
2.505872944  11.186763939
1.864587329  10.975053286
0.908007476  11.047726568
0.408093832  11.038434181
-0.494784201  10.919458639
-1.369413141  11.030724907
-1.862661779  11.112613737
-2.618462612  11.469168243
-3.593946033  11.580960201
-4.080830174  12.165990343
-4.459787725  12.492166945
-5.409447513  12.346331162
-5.91327378  11.553868289
-6.307799934  11.24670528
-6.76031672  10.583475135
-7.350485801  9.80634342
-7.659943771  9.413614806
-8.06901539  8.584407182
-8.64718186  7.769472235
-8.936990639  6.981385136
-9.750900881  6.45751757
-9.882667095  5.535312562
-10.293521619  4.627589877
-10.029776565  3.696245645
-10.136034749  2.891457364
-9.849738165  1.936537628
-10.069325934  1.15179811
-10.152642343  0.658788601
