           x            y            
-0.409763175  0.286520751
-0.648511291  1.206530266
-0.697455587  1.951234268
-1.284614195  2.584566181
-2.157046991  3.060615763
-2.572187589  3.339288121
-3.22736662  3.935182082
-4.02917285  4.53276403
-4.737266065  5.20492384
-5.697354728  5.425437837
-6.434633295  5.292770331
-7.27620733  4.752629699
-7.839886545  3.948607174
-8.311373407  3.297433481
-8.725460844  2.860736385
-8.907212737  2.394940025
-9.299084629  1.688183469
-10.107368094  1.487118323
-10.613307446  0.62950793
