           x            y            
0.428673107  0.801256619
-0.410095591  1.289379879
-1.327170336  1.666899478
-1.977222824  2.269771999
-2.423194527  3.021803992
-2.657861013  3.463314627
-3.130665593  4.110028489
-3.508960164  4.436973771
-4.107171898  5.208608835
-4.775306534  5.51469305
-5.714978248  5.765466592
-6.68023548  5.608631371
-7.15112256  5.440508326
-7.963682178  4.887053481
-8.789210318  4.472753378
-9.238389066  4.253120839
-9.89768463  3.515175489
-10.287722193  2.608282474
-10.492219667  2.15201415
-10.578009315  1.291022698
-10.489156178  0.676683257
