           x            y            
-0.388042302  -0.315314402
-1.24854032  -0.709359446
-1.984842541  -1.029580619
-2.548040641  -1.849476229
-2.9280953  -2.696224701
-3.52628376  -3.446802754
-3.882541839  -4.306546392
-4.396189229  -4.98318855
-5.312020979  -4.823728129
-6.2669681  -4.60799783
-7.071326489  -4.260140393
-7.571158705  -4.273092438
-8.505304818  -4.46007351
-9.488726557  -4.505908579
-9.933075142  -4.276661256
-10.638647702  -3.648969105
-11.328509703  -3.325408455
-11.746658883  -3.051271148
-11.527860795  -2.296075753
-11.179380513  -1.471340395
-10.63437394  -0.989652953
-10.03850041  -0.697920964
