           x            y            
-0.422426458  -0.267499322
-1.194613929  -0.322904104
-1.922333339  0.321707304
-2.599467394  1.052354311
-2.894651912  1.455921035
-3.585187223  2.169441196
-4.076605989  2.88359237
-4.366143801  3.291229286
-4.978465718  4.049851663
-5.081222721  5.008250736
-5.272030877  5.470411149
-5.920831083  6.005835929
-6.758010936  6.154449832
-7.611100924  5.709828976
-8.439342955  5.175099223
-9.025020828  4.397025413
-9.54747285  3.636277358
-9.445471706  2.708685331
-9.34755175  1.811671495
-9.793725567  1.585997116
-9.899549681  0.943922178
