           x            y            
-0.357074358  -0.349997004
-1.167593382  -0.815273111
-1.679774894  -1.649904047
-2.118037349  -2.246292387
-3.066668175  -2.552170601
-3.520889256  -2.761175887
-4.133417444  -3.188684557
-4.457235476  -3.569659467
-5.082123858  -4.27958318
-5.878450148  -4.638278211
-6.355466571  -5.219536311
-7.176904395  -5.782246384
-8.100780729  -5.729605548
-8.5647759  -5.543303424
-9.396931413  -5.599201436
-10.033417251  -4.840512512
-10.209302673  -3.913561234
-11.022113494  -3.667521511
-11.908203731  -3.213754013
-12.0281679  -2.315290263
-11.686454311  -1.463078515
-11.487338622  -0.484256113
-10.601737165  -0.206376631
