           x            y            
-0.363842493  0.709087739
-0.672411051  1.659333759
-1.373607001  2.347488841
-1.750956119  2.67552488
-2.556534695  3.11968794
-3.19135421  3.758581406
-4.007859318  4.335852392
-4.771521094  4.96513662
-5.207372633  5.822889907
-5.839343267  6.48547515
-6.3015132  6.676260246
-7.214541785  6.443717214
-7.665837138  6.228467348
-8.533616546  5.824570525
-8.907501482  5.492591528
-9.267220942  4.808965481
-9.929478654  4.141429545
-10.087591706  3.344873504
-10.428217743  2.505565415
-10.182144304  2.070309326
-9.844405608  1.476674071
-9.62545778  0.801693862
