           x            y            
0.329850771  0.762685968
0.638637239  1.668933995
0.603684009  2.518065789
0.657638927  3.256917385
0.042437768  3.970630238
-0.65529265  4.630213442
-1.235589902  5.231866939
-1.636942297  5.991352383
-2.243102045  6.475455006
-3.199430851  6.36410016
-4.166056679  6.571003676
-5.149802989  6.544930997
-6.104151173  6.482036254
-7.074185822  6.377065409
-8.058022732  6.205745348
-8.534289215  6.053527618
-9.292419421  5.614330406
-9.804068961  4.965855699
-10.485037767  4.375336293
-11.415092383  4.361212619
-11.909122725  4.438245218
-12.586270858  3.939400068
-13.115347666  3.09843108
-13.113554279  2.412277876
-12.757007231  1.52508026
-12.669786509  1.032746485
-12.15002822  0.396696129
-11.307899117  -0.044203967
-10.761819767  -0.482985285
