           x            y            
-0.17525057  -0.468281153
-0.103804863  -1.231061082
0.662131647  -1.717033706
1.088666215  -2.507801277
0.952425538  -3.445970393
1.340528696  -4.087341665
1.517912788  -4.971470046
1.960728991  -5.730328192
1.71160617  -6.16384615
1.385934311  -7.058025471
1.033680702  -7.902499057
1.007274731  -8.874437439
0.347083224  -9.348443909
-0.151652624  -9.383976346
-1.09553089  -9.694127628
-1.817547278  -9.891538863
-2.614937958  -10.345461814
-3.576243595  -10.468389986
-4.055001772  -10.612579473
-4.560118074  -11.154086008
-5.484635173  -11.535226408
-6.264392933  -12.051249965
-7.195973487  -12.164871816
-7.664222905  -12.340207157
-8.552816393  -12.1490506
-9.078445597  -11.69698546
-9.558923608  -11.558634888
-10.410229583  -11.042046125
-11.301544395  -10.659116425
-12.11281797  -10.473881861
-12.687717324  -9.703317714
-13.339307392  -8.982185583
-13.493676619  -8.022573658
-13.656176669  -7.549716667
-13.819181469  -7.025287032
-14.169104758  -6.668140435
-14.658054413  -6.098687518
-14.565732815  -5.607284707
-14.722594495  -4.822155715
-15.249906065  -3.979918064
-14.835274863  -3.143099529
-14.046726696  -2.539475095
-13.282055113  -2.084576584
-12.757926751  -1.48756245
-11.942782528  -0.915854288
-11.501444174  -0.680863954
-10.970363177  0.124845145
