           x            y            
-0.478421114  -0.546848636
-1.069383752  -1.353273859
-0.949331448  -2.28381188
-0.570844449  -3.135732934
-0.974213675  -4.050532901
-1.582064011  -4.811387272
-2.436263637  -5.331131207
-3.111271256  -5.869912818
-3.579594695  -6.045050355
-4.434228297  -6.54385361
-5.122769526  -7.149844783
-5.635639493  -7.754328346
-6.535753441  -7.785394338
-7.452640723  -7.900607986
-8.339332181  -8.115694378
-9.207404873  -7.833438369
-9.962143065  -7.21632521
-10.32428441  -6.87157364
-10.940734757  -6.403426435
-11.116106428  -5.570249051
-10.925360815  -5.108062821
-10.795976794  -4.378922844
-10.250281417  -3.562466179
-9.966328111  -3.15091968
-9.090631665  -2.750999318
-8.518731321  -1.969337059
-8.254310815  -1.544976604
-8.63887998  -0.737240366
-9.367576456  -0.173649015
