           x            y            
0.380020216  0.324937894
1.06901084  0.997081251
1.233330517  1.706224336
1.065992732  2.594054721
0.28446586  3.214885986
-0.27370237  3.915521286
-0.824436593  4.729359721
-0.87709399  5.226579189
-1.514175015  5.956749513
-2.308691054  6.078772091
-2.801450172  6.163556825
-3.678011082  6.429680826
-4.498415177  6.955823816
-4.997263031  6.989747529
-5.820410078  6.654825856
-6.549024693  6.885349227
-7.291114846  7.074612775
-8.251381372  7.210611466
-9.084548779  6.700476385
-9.905388751  6.370408213
-10.649045962  5.828402626
-11.56321426  6.112552754
-12.288356607  5.772470108
-12.741644601  4.978256089
-13.491233616  4.55012032
-13.913277821  3.836265099
-14.274716858  3.004864447
-13.628281341  2.2645039
-13.26378047  1.60209782
-12.459632  1.044644571
-12.259390214  0.586492602
-11.766023901  0.07666899
-10.99398168  0.030085021
