           x            y            
-0.830887692  -0.223760021
-1.329975059  -0.253956049
-2.106326233  -0.065606303
-2.385230917  0.349378247
-2.978385747  1.107954026
-3.773096528  1.091852956
-4.662768034  1.468774153
-5.391228332  2.107489583
-5.744872432  2.460952241
-6.312826484  3.170110754
-6.949931442  3.939410806
-7.625131377  4.539959648
-8.173848324  5.367904616
-8.619008888  6.224431008
-9.513519356  6.260890246
-10.303123456  5.650540025
-11.067817317  5.006505709
-11.894435419  4.635539494
-12.640364176  3.999660776
-13.078705687  3.435483117
-13.315592502  2.995159785
-13.517256249  2.333621063
-13.201959209  1.488204018
-12.780992097  1.218413932
-12.285986307  0.764503365
-11.789096484  0.820185532
-11.111890164  0.579012189
-10.689929974  0.310777966
