           x            y            
-0.005069304  -0.71810549
-0.360946911  -1.559734491
-0.700560318  -1.926698703
-1.346825573  -2.657298862
-2.111681703  -3.231499081
-2.888721081  -3.813987563
-3.86741703  -3.910720823
-4.677257407  -4.374262648
-5.343964304  -5.118549725
-6.204948781  -5.14114178
-6.624226368  -4.868733438
-7.272899742  -5.360616734
-7.734073132  -6.17311841
-8.580526158  -5.745100693
-9.251296261  -5.745638959
-10.115873881  -5.263215038
-10.993082867  -5.031175597
-11.163266278  -4.224642088
-10.967163563  -3.24405873
-10.620164798  -2.313376497
-10.037256845  -1.798562855
-10.242607713  -1.154044923
-10.046623212  -0.69405571
