           x            y            
-0.491035457  -0.094255931
-1.210611999  0.125317368
-1.725149852  0.91227305
-2.363343203  1.470455389
-2.840535385  1.619745783
-3.775207332  1.953343607
-3.884222347  2.79326182
-4.324114294  3.679611449
-5.088674146  4.187118897
-5.782526549  4.311984387
-6.281315026  4.346770242
-7.074273686  4.429325515
-7.565087366  4.524729557
-8.293996796  4.551993631
-8.493066585  4.093331207
-8.224074213  3.178125218
-8.283570376  2.26640825
-8.681931235  1.964235077
-9.040126772  1.167047588
-9.495952111  0.744838411
