           x            y            
-0.699819839  0.339121477
-1.561772932  0.028088868
-2.325018604  -0.173787525
-2.476492868  -1.14692322
-2.674662936  -1.605975096
-3.234275463  -2.395882797
-3.548685312  -2.784658371
-4.254138845  -3.289865798
-5.058990753  -2.910259987
-5.884618952  -2.888408793
-6.192314609  -3.282519669
-6.785843041  -3.665728015
-7.141927704  -4.016731879
-8.032850727  -4.028304629
-8.875508473  -3.62904883
-9.299197235  -3.363553382
-9.886802339  -2.851189247
-10.420795465  -2.236073296
-11.062758838  -1.471056431
-10.652063171  -0.826049414
-10.177248512  -0.6693617
