           x            y            
-0.33582262  -0.370436456
-1.177326247  -0.885625841
-1.668206797  -0.980685219
-2.441117011  -1.575551875
-2.860295863  -2.28427503
-3.093697956  -2.726455382
-3.427573116  -3.553843431
-3.709004096  -3.967118888
-4.006445581  -4.758588704
-4.354763521  -5.117301142
-4.957422337  -5.884260795
-5.628308258  -6.590345771
-6.560302357  -6.714299277
-7.339301523  -6.915403683
-7.757253043  -7.189842249
-8.55172306  -7.135034695
-8.945756417  -6.827239773
-9.611143112  -6.204155395
-9.968584157  -5.40936661
-10.07572041  -4.92097965
-9.923235995  -3.949152434
-9.811778953  -3.223923492
-9.437658881  -2.566127489
-10.0053309  -1.742877145
-10.06975714  -0.844741781
