           x            y            
-0.214101728  -0.795006579
-0.622828401  -1.083003987
-1.468728543  -1.581944033
-1.85615417  -2.413150208
-2.058365555  -3.142546679
-2.312645782  -4.027075098
-2.797828232  -4.147897241
-3.614583563  -4.415817888
-4.525514261  -4.727254728
-5.009640029  -5.267847453
-5.5048894  -5.336608348
-6.395516281  -5.041444525
-6.881758044  -4.9249587
-7.706107418  -4.514180176
-8.503915596  -3.916877683
-8.959284826  -3.710385881
-9.899102589  -3.370419163
-10.644230177  -2.815557893
-11.194178908  -2.074165347
-11.10704595  -1.095876652
-10.788862877  -0.594259727
