           x            y            
-0.647638826  -0.357085634
-1.254741426  -1.117699765
-1.901173981  -1.717607888
-2.231013942  -2.093381223
-2.930208357  -2.788130725
-3.276173625  -3.404408607
-3.254021629  -3.903917655
-3.987325117  -4.484735768
-4.936389517  -4.787096835
-5.83197425  -5.23198221
-6.772257422  -5.15427763
-7.244339529  -4.989540008
-8.12423772  -4.635857308
-9.057522969  -4.792419286
-9.812487563  -4.593633678
-10.700550731  -4.564637412
-11.097826241  -4.261038715
-11.504438116  -3.615012165
-11.905458447  -2.951831794
-12.337351288  -2.699902094
-12.592905666  -1.81403959
-12.363855648  -1.049934817
-12.060195483  -0.350287401
-11.625230601  0.550105637
-10.795726054  0.641001548
-10.379735987  0.363598836
