           x            y            
-0.741097603  0.654914773
-1.201708372  0.849433973
-1.47233126  1.709666187
-2.313656353  2.187587103
-2.797609062  2.313244476
-3.700415074  2.725486513
-3.809755017  3.612581273
-4.543717008  4.246707579
-5.496232672  4.519082565
-6.352488448  4.74610977
-7.10762069  5.33770372
-7.480319537  5.67101374
-8.32773559  6.123236011
-9.183113119  6.20001393
-9.996770544  5.663111255
-10.415895198  5.39046767
-10.892388871  4.741115154
-10.950379212  4.24448942
-11.128845542  3.319958983
-10.605038959  2.544679447
-10.152973945  2.024998199
-10.152664932  1.524998294
-9.988571764  0.567986785
