           x            y            
-0.916224711  -0.385674851
-1.706408538  -0.992987741
-2.373218454  -1.271153388
-2.442836056  -1.766283057
-2.290382869  -2.664344743
-2.481776718  -3.495923867
-2.541343298  -4.301778293
-2.867084138  -5.091425682
-3.197310626  -5.927555875
-3.693937917  -5.869578865
-4.546126227  -6.113723587
-5.045103266  -6.081756193
-5.993654515  -5.870532161
-6.793818112  -5.299223124
-7.442730162  -4.628984373
-8.167990728  -3.951711677
-8.997612796  -3.393953502
-9.853910003  -3.072567519
-10.667136354  -2.785793272
-10.555466707  -1.820655864
-10.062924552  -1.061265064
-9.935961544  -0.80732214
