           x            y            
-0.51904242  -0.563302831
-0.413835514  -1.470332258
-0.069439156  -1.832811427
0.618219174  -2.547134777
1.034546234  -3.321191396
1.038357835  -3.821176868
1.12045982  -4.693281277
0.948638087  -5.162831372
0.4664794  -5.955455802
0.173593872  -6.826268978
-0.280649357  -7.035226124
-0.924085712  -7.666408561
-1.347992039  -7.931556493
-2.21282407  -8.431951376
-3.141639608  -8.785318698
-3.818917369  -9.33871917
-4.797514117  -9.526314306
-5.681193665  -9.673528758
-6.456378058  -10.303073107
-7.152938843  -10.474213781
-7.580888816  -10.732784507
-8.415259334  -11.143329427
-9.135284708  -11.070219769
-9.452395962  -10.683644481
-10.308918778  -10.341159246
-10.808589093  -10.323004995
-11.525780765  -10.275331707
-12.276334525  -9.68597292
-12.883460975  -8.917349131
-13.471514179  -8.257417448
-13.711367028  -7.321224062
-13.374928843  -6.471775039
-13.588375005  -5.567256937
-13.495927029  -4.571639062
-12.999660175  -3.96155194
-12.061723845  -3.794659486
-11.614391914  -3.571289515
-10.913404558  -2.973413869
-10.747924931  -2.501591346
-10.220157392  -1.685936058
-9.840512835  -0.860388353
