           x            y            
0.026386659  0.69899575
-0.1794808  1.154647579
-0.222093038  1.906236657
-0.441426146  2.355561692
-0.355133651  3.069185409
-0.499050747  3.548025538
-1.180708952  4.209764983
-1.505735667  4.589709235
-2.312054096  4.957368606
-2.775436434  5.14518982
-3.196099197  5.992627595
-4.071193058  6.342791705
-4.55104238  6.202276126
-5.498625826  5.932464802
-6.314822436  5.965524052
-6.790874296  6.118411681
-7.775884616  6.158130677
-8.24190958  5.976965746
-9.166364146  5.924501098
-9.889926876  5.234990039
-10.561784046  4.870686095
-10.932929787  3.956712544
-11.10936787  3.488877527
-11.823304683  2.979219335
-12.224517169  2.680842827
-11.885316655  1.875105464
-11.409224334  1.72234388
-11.434870262  0.783000554
-10.992496275  -0.074748678
