           x            y            
-0.153962506  0.872329497
-0.790585574  1.516185849
-1.011841371  1.964567241
-1.623346443  2.717760114
-2.367876303  3.305861892
-2.671753821  3.702924171
-3.214652516  4.228104056
-3.95685607  4.892777402
-4.615966633  5.557189538
-5.40640875  6.168707721
-6.128438549  6.831563817
-6.552009338  7.097247438
-7.149709256  7.468021494
-8.061951188  7.065651358
-8.981375284  6.89828093
-9.253830936  6.479034085
-9.643602521  5.587203754
-10.106672962  4.755687916
-10.771744242  4.024281341
-11.217064976  3.128925452
-11.975083195  2.509612357
-12.67675349  1.798013454
-13.088510698  0.980784021
-13.469644096  0.657152545
-13.172813012  -0.02175401
-12.837423063  -0.392582248
-12.02009305  -0.847033286
-11.529532615  -0.94373106
-10.868457898  -0.476879552
